Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
12/04/26,,Mallorca Win,1.8,2.49,38.33,,,1,15,22.35,
12/04/26,,Mallorca Over 2.5,2.02,2.3,13.86,,,1,10,13,
12/04/26,,Celta de Vigo Win,1.63,1.7,4.29,,,X,,,
12/04/26,,Celta de Vigo Over 2.5,1.56,2,28.21,,,1,15,15,
Dagtotaal 12/04/26,,,,,,,,,335.00,15.45,ROI 4.6% · 29 plays

13/04/26,,ManU Win,1.43,1.57,9.79,,,0,20,-20,
13/04/26,,ManU Over 2.5,1.5,1.675,11.67,,,1,20,13.5,
13/04/26,,Lazio Win,3.45,3.58,3.77,,,X,,,
13/04/26,,Lazio Gelijk,2.91,3.22,10.65,,,0,5,-5,
13/04/26,,Lazio Under 2.5,1.48,1.66,12.16,,,1,20,13.2,
13/04/26,,Tondela Win,3.25,4.1,26.15,,,0,5,-5,
13/04/26,,Tondela Draw,2.94,3.24,10.20,,,1,5,11.2,
13/04/26,,Tondela Under 2.5,1.48,1.6,8.11,,,0,20,-20,
13/04/26,,Getafe Win,2.69,3.14,16.73,,,0,5,-5,
13/04/26,,Getafe Over 1.5,1.33,1.53,15.04,,,0,20,-20,
13/04/26,,Getafe Over 2.5,2.06,2.63,27.67,,,X,,,
Dagtotaal 13/04/26,,,,,,,,,120.00,-37.10,ROI -30.9% · 9 plays

17/04/26,,Koln Win,2.69,2.45,-8.92,,,X,,,
17/04/26,,Koln Over 2.5,2.01,2.025,0.75,,,X,,,
17/04/26,,Lens Win,1.48,1.53,3.38,,,X,,,
17/04/26,,Como Win,1.58,1.53,-3.16,,,X,,,
17/04/26,,Como Gelijk,4.22,4.4,4.27,,,X,,,
17/04/26,,Como Under 2.5,2.05,2.2,7.32,,,0,10,-10,
17/04/26,,Inter Win,1.15,1.25,8.70,,,1,20,5,
17/04/26,,Inter Over 2.5,1.25,1.57,25.60,,,X,,,
17/04/26,,Inter Over 3.5,1.61,2.5,55.28,,,0,15,-15,
17/04/26,,Rio Ave Win,1.58,1.66,5.06,,,0,15,-15,
17/04/26,,Rio Ave Over 2.5,1.76,1.975,12.22,,,1,15,14.625,
Dagtotaal 17/04/26,,,,,,,,,75.00,-20.38,ROI -27.2% · 5 plays

18/04/26,,Union Berlin Win,1.99,2.15,8.04,,,0,10,-10,
18/04/26,,Union Berlin Over 2.5,1.68,1.9,13.10,,G,1,15,13.5,G
18/04/26,,Leverkusen Win,1.27,1.4,10.24,,,0,20,-20,
18/04/26,,Leverkusen Over 2.5,1.36,1.44,5.88,,,X,,,
18/04/26,,Leverkusen Over 3.5,1.87,2.1,12.30,,,0,15,-15,
18/04/26,,Dortmund Win,2.29,2.5,9.17,,,0,10,-10,
18/04/26,,Dortmund Draw,3.92,4.01,2.30,,,X,,,
18/04/26,,Dortmund under 3.5,1.68,1.71,1.79,,,X,,,
18/04/26,,Hamburger Win,2.91,3.75,28.87,,,0,5,-5,
18/04/26,,Hamburger Gelijk,3.36,3.64,8.33,,,0,5,-5,
18/04/26,,Hamburger Under 2.5,1.88,2.1,11.70,,,0,15,-15,
18/04/26,,Eintracht Win,2.74,3.4,24.09,,,0,5,-5,
18/04/26,,Eintracht Gelijk,3.98,4.16,4.52,,,X,,,
18/04/26,,Eintracht Under 3.5,1.76,1.81,2.84,,,X,,,
18/04/26,,Brentford Win,1.82,2.1,15.38,,,0,15,-15,
18/04/26,,Leeds Win,1.46,1.61,10.27,,,1,20,12.2,
18/04/26,,Leeds Under 2.5,1.83,1.91,4.37,,,X,,,
18/04/26,,Bournemouth Win,2.56,3.5,36.72,,,1,5,12.5,
18/04/26,,Bournemouth Over 2.5,1.34,1.5,11.94,,,X,,,
18/04/26,,Bournemouth Over 3.5,1.83,2.2,20.22,,,0,15,-15,
18/04/26,,Brighton Win,1.75,2.4,37.14,,,0,15,-15,
18/04/26,,Brighton Under 2.5,2.13,2.2,3.29,,,X,,,
18/04/26,,ManU Win,2.74,3.2,16.79,,,1,5,11,
18/04/26,,ManU +0.5,1.59,1.68,5.66,,,X,,,
18/04/26,,Lorient Win,3.29,4.51,37.08,,,1,5,17.55,
18/04/26,,Lorient Over 2.5,1.51,1.675,10.93,,,0,15,-15,
18/04/26,,Angers Win,1.93,2.87,48.70,,,0,10,-10,
18/04/26,,Angers Under 2.5,1.52,1.575,3.62,,,X,,,
18/04/26,,Lille Win,1.41,1.5,6.38,,,0,20,-20,
18/04/26,,Lille Over 2.5,1.48,1.8,21.62,,,0,20,-20,
18/04/26,,Udinese Win,2.01,2.15,6.97,,,0,10,-10,
18/04/26,,Udinese Under 2.5,1.49,1.61,8.05,,,1,20,12.2,
18/04/26,,Lazio Win,5.81,7,20.48,,,1,2.5,15,
18/04/26,,Lazio Gelijk,3.22,4.05,25.78,,,0,5,-5,
18/04/26,,Lazio Under 2.5,1.53,1.66,8.50,,,1,15,9.9,
18/04/26,,Roma Gelijk,3.03,3.3,8.91,,,1,5,11.5,
18/04/26,,Roma Under 2.5,1.56,1.825,16.99,,,1,15,12.375,
18/04/26,,Alverca Win,2.49,3.2,28.51,,,0,5,-5,
18/04/26,,Alverca Over 2.5,1.72,1.9,10.47,,,0,15,-15,
18/04/26,,Casa Pia Win,3.5,3.8,8.57,,,0,5,-5,
18/04/26,,Casa Pia Over 2.5,1.99,2.4,20.60,,,0,10,-10,
18/04/26,,Gil Vicente Win,1.59,2.1,32.08,,,0,15,-15,
18/04/26,,Gil Vicente Over 2.5,1.93,2.1,8.81,,,0,10,-10,
Dagtotaal 18/04/26,,,,,,,,,377.50,-142.27,ROI -37.7% · 33 plays

19/04/26,,Freiburg Win,1.54,1.66,7.79,,,1,15,9.9,
19/04/26,,Bayern Win,1.21,1.4,15.70,,,1,20,8,
19/04/26,,Bayern Over 3.5,1.19,1.61,35.29,,,1,20,12.2,
19/04/26,,Bayern -1.5,1.44,2.04,41.67,,,X,,,
19/04/26,,Gladbach Over 2.5,1.7,1.9,11.76,,,0,15,-15,
19/04/26,,Aston Villa Gelijk,3.3,3.68,11.52,,,0,5,-5,
19/04/26,,Aston Villa Under 2.5,1.59,1.88,18.24,,,0,15,-15,
19/04/26,,Everton Win,2.35,3.1,31.91,,,0,5,-5,
19/04/26,,Burnley Win,4.41,7,58.73,,,0,5,-5,
19/04/26,,Burnley Gelijk,3.4,4.4,29.41,,,0,5,-5,
19/04/26,,Burnley Under 2.5,1.79,2.025,13.13,,,0,15,-15,
19/04/26,,Arsenal Win,3.62,4.2,16.02,,,0,5,-5,
19/04/26,,Arsenal Over 2.5,1.79,2,11.73,,,1,15,15,
19/04/26,,Monaco Win,1.31,1.55,18.32,,,0,20,-20,
19/04/26,,Monaco -1.5,1.79,2.39,33.52,,,X,,,
19/04/26,,Monaco over 2.5,1.5,1.675,11.67,,,1,20,13.5,
19/04/26,,Paris FC Win,1.92,2.15,11.98,,,1,10,11.5,
19/04/26,,Paris FC Gelijk,3.56,3.63,1.97,,,X,,,
19/04/26,,Paris FC Under 2.5,1.81,1.9,4.97,,,0,15,-15,
19/04/26,,Stade Brest Win,2.32,3.1,33.62,,,0,5,-5,
19/04/26,,Stade Brest Over 2.5,1.94,2.25,15.98,,,0,10,-10,
19/04/26,,Strasbourg Win,1.75,2.75,57.14,,,0,15,-15,
19/04/26,,Strasbourg Over 2.5,1.55,1.675,8.06,,,1,15,10.125,
19/04/26,,Torino Win,2.14,2.55,19.16,,,0,10,-10,
19/04/26,,Torino Over 2.5,2.04,2.33,14.22,,,0,10,-10,
19/04/26,,AC Milan Win,1.36,1.55,13.97,,,1,20,11,
19/04/26,,AC Milan -1.5,2.03,2.59,27.59,,,X,,,
19/04/26,,AC Milan Over 2.5,2.03,2.08,2.46,,,X,,,
19/04/26,,Genoa Win,2.29,2.4,4.80,,,X,,,
